"LANGUAGE","Bahasa Indonesia"
"ABLC_DESC","Mengizinkan kontrol level bangunan per distrik dan/atau bangunan."
"ABLC_NAME","Advanced Building Level Control"
"ABLC_SHORT","Kontrol Level"
"ABLC_CTRL","Level kontrol"
"ABLC_BUT_DIS","Kontrol level tidak tersedia untuk tipe bangunan ini"
"ABLC_LVL_MIN","Level minimal"
"ABLC_LVL_MIN_TIP","Level bangunan minimal yang diizinkan untuk bangunan ini."
"ABLC_LVL_MAX","Level maksimal"
"ABLC_LVL_MAX_TIP","Level bangunan maksimal yang diizinkan untuk bangunan ini."
"ABLC_LVL_LCK_TIP","This building is locked to this level."
"ABLC_CAT_RES","Level perumahan"
"ABLC_CAT_RMN_TIP","Level bangunan minimal yang diizinkan untuk bangunan perumahan di distrik ini."
"ABLC_CAT_RMX_TIP","Tingkat bangunan maksimal yang diizinkan untuk bangunan perumahan di distrik ini."
"ABLC_CAT_WRK","Level tempat kerja"
"ABLC_CAT_WMN_TIP","Level minimal bangunan yang diizinkan untuk bangunan tempat kerja (industri/komersial/perkantoran) di distrik ini."
"ABLC_CAT_WMX_TIP","Level maksimal bangunan yang diizinkan untuk bangunan tempat kerja (industri/komersial/perkantoran) di distrik ini."
"ABLC_RAN_SPN","Munculnya level acak"
"ABLC_RAN_SPN_TIP","Saat diterapkan, bangunan baru di distrik ini akan memiliki level awal yang dipilih secara acak antara minimal dan maksimal untuk distrik ini."
"ABLC_HIS_SPN","Bangunan baru Historical"
"ABLC_HIS_SPN_TIP","Saat disetel, bangunan baru di distrik ini akan otomatis ditandai sebagai bangunan Historical. Tidak mempengaruhi bangunan yang ada."
"ABLC_TRIG_UPB_TIP","Memaksa gedung ini untuk upgrade ke minimal yang ditentukan."
"ABLC_TRIG_UPD_TIP","Memaksa semua bangunan di distrik ini dengan level di bawah minimal yang ditentukan untuk diupgrade ke level minimal tersebut."
"BUILDING_UPGRADE","Upgrade bangunan ini satu level."
"BUILDING_DOWNGRADE","Downgrade bangunan ini satu level."
"BUILDING_RANDOM","Mengacak tampilan bangunan."
"BUILDING_ABANDON","Beralih ke bangunan yang ditinggalkan."
"BUILDING_COLLAPSE","Beralih ke bangunan runtuh."
"ABLC_TRIG_DWB_TIP","Memaksa bangunan ini untuk downgrade ke tingkat maksimal yang ditentukan."
"ABLC_TRIG_DWD_TIP","Memaksa semua bangunan di distrik ini dengan level di atas maksimal yang ditentukan untuk downgrade ke tingkat maksimal tersebut."
"ABLC_HIS","Pengaturan Historical"
"ABLC_TRIG_HIS","Memaksa Historical"
"ABLC_TRIG_HIS_TIP","Menjadikan semua bangunan di distrik ini Historical."
"ABLC_TRIG_NHS","Hapus Historical"
"ABLC_TRIG_NHS_TIP","Membuat semua bangunan di distrik ini tidak Historical."
"ABLC_CLR_BLD","Hapus setting bangunan"
"ABLC_CLR_BLD_TIP","Menghapus semua setting level bangunan individual di distrik ini."
"ABLC_OPT_PNL","Opsi panel"
"ABLC_OPT_PLY","Opsi gameplay"
"ABLC_OPT_SHO","Tampilkan panel pada pemilihan bangunan"
"ABLC_OPT_RT","Tempatkan panel ABLC di kanan panel info game (bukan di kiri)"
"ABLC_OPT_ANA","Semua bangunan tidak ditinggalkan"
"ABLC_OPT_HNA","Bangunan Historical tidak ditinggalkan"
"ABLC_OPT_RND","Mengacak tampilan bangunan dalam +/- 1 level bangunan"
"ABLC_OPT_TRN","Terapkan pengacakan tambahan untuk perubahan tampilan bangunan"
"ABLC_OPT_UWT","Izinkan bangunan non-historical untuk ditingkatkan seolah-olah historical jika tidak ada model lain yang tersedia"
"ABLC_OPT_CLL","Periksa semua bangunan peta yang diload dan perbaiki level ilegal apa pun"
"ABLC_ERR_CON1","Mod ini harus dihapus sebelum Advanced Building Level Control dapat beroperasi."
