"LANGUAGE","Українська"
"ABLC_DESC","Дозволяє контролювати рівні будівель за районом та індивідуально."
"ABLC_NAME","Advanced Building Level Control"
"ABLC_SHORT","Контроль рівня"
"ABLC_CTRL","Контроль рівня"
"ABLC_BUT_DIS","Керування рівнем недоступне для цього типу будівлі"
"ABLC_LVL_MIN","Мінімальний рівень"
"ABLC_LVL_MIN_TIP","Мінімальний дозволений рівень для цієї будівлі."
"ABLC_LVL_MAX","Максимальний рівень"
"ABLC_LVL_MAX_TIP","Максимальний дозволений рівень для цієї будівлі."
"ABLC_CAT_RES","Рівні житлових будівель"
"ABLC_CAT_RMN_TIP","Мінімальний рівень для житлових будинків у цьому районі."
"ABLC_CAT_RMX_TIP","Максимальний рівень для житлових будинків у цьому районі."
"ABLC_CAT_WRK","Рівні будівель, що надають роботу"
"ABLC_CAT_WMN_TIP","Мінімальний рівень для будівель, що надають роботу (промислові/комерційний/офіс) в цьому районі."
"ABLC_CAT_WMX_TIP","Максимальний рівень для будівель, що надають роботу (промислові/комерційний/офіс) в цьому районі."
"ABLC_RAN_SPN","Випадкові рівні при будівництві"
"ABLC_RAN_SPN_TIP","Коли вибрано, нові будівлі в цьому районі будуть будуватись з випадковим початковим рівнем між мінімальним та максимальним для цього району."
"ABLC_HIS_SPN","Нові будівлі - історичні"
"ABLC_HIS_SPN_TIP","Коли вибрано, нові будівлі у цьому районі будуть автоматично позначатися як історичні. Не впливає на вже наявні будівлі."
"ABLC_TRIG_UPB_TIP","Примушує цю будівлю покращитись до зазначеного мінімуму."
"ABLC_TRIG_UPD_TIP","Примушує всі будівлі в цьому районі з нижчими рівнями за зазначений мінімум до покращення до цього мінімуму."
"BUILDING_UPGRADE","Покращити цю будівлю на один рівень."
"BUILDING_DOWNGRADE","Понизити цю будівлю на один рівень."
"BUILDING_RANDOM","Випадковий вигляд будівлі."
"BUILDING_ABANDON","Перемикнути закинутість будівлі."
"BUILDING_COLLAPSE","Перемикнути руйнування будівлі."
"ABLC_TRIG_DWB_TIP","Примушує цю будівлю понизитись до зазначеного мінімуму."
"ABLC_TRIG_DWD_TIP","Примушує всі будівлі в цьому районі з більшими рівнями за зазначений максимум до пониження до цього максимуму."
"ABLC_HIS","Налаштування історичності"
"ABLC_TRIG_HIS","Примусово ""історичне"""
"ABLC_TRIG_HIS_TIP","Робить всі будівлі цього району історичними."
"ABLC_TRIG_NHS","Очистити ""історичність"""
"ABLC_TRIG_NHS_TIP","Робить всі будівлі цього району неісторичними."
"ABLC_CLR_BLD","Скинути налаштування будівлі"
"ABLC_CLR_BLD_TIP","Очищує всі параметри рівня будівництва в цьому районі."
"ABLC_OPT_PNL","Опції панелі"
"ABLC_OPT_PLY","Параметри ігроладу"
"ABLC_OPT_SHO","Показувати панель при виділенні будівлі"
"ABLC_OPT_RT","Розмістити панель ABLC праворуч від інформаційної панелі (замість ліворуч)"
"ABLC_OPT_ANA","Немає покинутих будівель"
"ABLC_OPT_HNA","Немає покинутих історичних будівель"
"ABLC_OPT_RND","Випадковий вигляд будівлі в межах +/- 1 рівня будівництва"
"ABLC_OPT_TRN","Застосувати додаткові рандомізації для зміни зовнішнього вигляду будівель"
"ABLC_OPT_UWT","Дозволити неісторичним будівлям оновлюватися як історичні, якщо немає відповідної моделі"
"ABLC_OPT_CLL","Перевіряти всі будівлі на карті при завантаженні та виправляйте деякі недопустимі рівні"
"ABLC_ERR_CON1","Ці моди необхідно видалити для нормальної роботи Advanced Building Level Control."
